#code,NPTGCode,lines,lon,lat,name
ACT,9400ZZLUACT1,DP,-0.28025120353611,51.50274977300050,Acton Town
ALD,9400ZZLUALD1,MH,-0.07561418447775,51.51427182308330,Aldgate
ALE,9400ZZLUADE1,DH,-0.07228711997537,51.51523341379640,Aldgate East
ALP,9400ZZLUALP1,P,-0.29948653867861,51.54069476629340,Alperton
AME,9400ZZLUAMS1,M,-0.60747883910247,51.67414971062970,Amersham
ANG,9400ZZLUAGL1,N,-0.10578991366531,51.53249886890430,Angel
ARC,9400ZZLUACY1,N,-0.13511351821034,51.56542675453370,Archway
AGR,9400ZZLUASG1,P,-0.13351630958178,51.61634026105670,Arnos Grove
ARL,9400ZZLUASL1,P,-0.10576198817556,51.55849876877660,Arsenal
BST,9400ZZLUBST1,MBHJ,-0.15690035605778,51.52306124814270,Baker Street
BAL,9400ZZLUBLM1,N,-0.15320755266647,51.44332897963520,Balham
BNK,9400ZZLUBNK1,WNC,-0.08891580904526,51.51330237151930,Bank
BAR,9400ZZLUBBN1,MH,-0.09771112321625,51.52014572532490,Barbican
BAY,9400ZZLUBWT1,DH,-0.18803826222162,51.51223305874100,Bayswater
BKG,9400ZZLUBKG1,DH,0.08086318284941,51.53945120851570,Barking
BDE,9400ZZLUBKE1,C,0.08851101382178,51.58578596039050,Barkingside
BCT,9400ZZLUBSC1,DP,-0.21360685736108,51.49015994270890,Barons Court
BEC,9400ZZLUBEC1,D,0.12740032115528,51.54028853520470,Becontree
BPK,9400ZZLUBZP1,N,-0.16423230633382,51.55042662771820,Belsize Park
BER,9400ZZLUBMY1,J,-0.06365135091808,51.49794911958150,Bermondsey
BNG,9400ZZLUBLG1,C,-0.05543111714588,51.52719523606950,Bethnal Green
BLF,9400ZZLUBKF1,DH,-0.10360673121986,51.51149052224740,Blackfriars
BHR,9400ZZLUBLR1,V,-0.04099634092037,51.58695119543890,Blackhorse Road
BDS,9400ZZLUBND1,CJ,-0.14933235458620,51.51380453538800,Bond Street
BOR,9400ZZLUBOR1,N,-0.09370266475837,51.50119399892850,Borough
BOS,9400ZZLUBOS1,P,-0.32476357379637,51.49569638218810,Boston Manor
BGR,9400ZZLUBDS1,P,-0.12421896320854,51.60709055695270,Bounds Green
BWR,9400ZZLUBWR1,DH,-0.02482374687453,51.52680025482600,Bow Road
BTX,9400ZZLUBTX1,N,-0.21345583375537,51.57680047144380,Brent Cross
BRX,9400ZZLUBXN1,V,-0.11463558157862,51.46258133363170,Brixton
BBB,9400ZZLUBBB1,DH,-0.01166193705829,51.52476993755730,Bromley-by-Bow
BHL,9400ZZLUBKH1,C,0.04674385624050,51.62651733040940,Buckhurst Hill
BUR,9400ZZLUBTK1,N,-0.26419875814563,51.60268109970250,Burnt Oak
CRD,9400ZZLUCAR1,P,-0.11831233313327,51.54842131840370,Caledonian Road
CTN,9400ZZLUCTN1,N,-0.14272614873029,51.53940352263100,Camden Town
CWR,9400ZZLUCWR2,J,-0.04970598679438,51.49788868199510,Canada Water
CWF,9400ZZLUCYF1,J,-0.01943181625326,51.50355048564750,Canary Wharf
CNT,9400ZZLUCGT1,J,0.00817103653259,51.51383712928950,Canning Town
CST,9400ZZLUCST1,DH,-0.09069485068098,51.51143372233730,Cannon Street
CPK,9400ZZLUCPK1,J,-0.29465374087843,51.60775951521530,Canons Park
CLF,9400ZZLUCAL1,M,-0.56053495644878,51.66802547392600,Chalfont & Latimer,Chalfont and Latimer
CHF,9400ZZLUCFM1,N,-0.15372800945125,51.54408310242260,Chalk Farm
CYL,9400ZZLUCHL1,C,-0.11167742738397,51.51812323061440,Chancery Lane
CHX,9400ZZLUCHX1,BN,-0.12475468662437,51.50859320760310,Charing Cross
CHG,9400ZZLUCWL1,C,0.07452661126372,51.61787192540510,Chigwell
CHM,9400ZZLUCSM1,M,-0.6113,51.7052,Chesham
